improve 0.2.3.0.1 at Shape(x=250, y=300, w=50, h=50) depth 4
* Score: 31632.378982568574 Cmds: ['cut [0] [x] [200]', 'cut [0.0] [100, 200]', 'cut [0.0.0] [50, 100]', 'cut [0.0.0.2] [75, 150]', 'color [0.0.0.2.2] [255, 22, 22, 255]', 'cut [0.0.1] [y] [100]', 'color [0.0.1.1] [56, 182, 255, 255]', 'cut [0.0.2] [y] [300]', 'cut [0.0.2.0] [150, 250]', 'color [0.0.2.0.0] [56, 182, 255, 255]', 'color [0.0.2.0.1] [56, 182, 255, 255]', 'color [0.0.2.0.2] [0, 74, 173, 255]', 'cut [0.0.2.1] [150, 350]', 'color [0.0.2.1.1] [0, 74, 173, 255]', 'cut [0.1] [300, 200]', 'cut [0.1.0] [y] [100]', 'color [0.1.0.1] [56, 182, 255, 255]', 'cut [0.1.2] [x] [350]', 'cut [0.1.2.0] [325, 300]', 'color [0.1.2.0.0] [0, 128, 55, 255]', 'cut [0.1.3] [y] [300]', 'cut [0.1.3.0] [y] [250]', 'color [0.1.3.0.0] [56, 182, 255, 255]', 'color [0.1.3.0.1] [15, 95, 173, 255]', 'cut [0.1.3.1] [250, 350]', 'color [0.1.3.1.0] [0, 74, 173, 255]']  
* Score: 33843.137173174335 Cmds: ['cut [0] [y] [200]', 'cut [0.0] [x] [200]', 'cut [0.0.0] [100, 100]', 'color [0.0.0.2] [56, 182, 255, 255]', 'cut [0.0.1] [300, 100]', 'color [0.0.1.3] [56, 182, 255, 255]', 'cut [0.1] [200, 300]', 'cut [0.1.0] [100, 250]', 'color [0.1.0.1] [56, 182, 255, 255]', 'cut [0.1.0.2] [x] [150]', 'color [0.1.0.2.1] [0, 74, 173, 255]', 'cut [0.1.1] [300, 250]', 'color [0.1.1.0] [56, 182, 255, 255]', 'color [0.1.1.3] [15, 95, 173, 255]', 'cut [0.1.2] [x] [300]', 'cut [0.1.2.0] [250, 350]', 'color [0.1.2.0.0] [0, 74, 173, 255]', 'cut [0.1.3] [x] [100]', 'cut [0.1.3.1] [150, 350]', 'color [0.1.3.1.1] [0, 74, 173, 255]']  
* Score: 31303.37898256857 Cmds: ['cut [0] [200, 200]', 'cut [0.0] [100, 100]', 'color [0.0.2] [56, 182, 255, 255]', 'cut [0.0.3] [x] [50]', 'cut [0.0.3.1] [75, 150]', 'color [0.0.3.1.2] [255, 22, 22, 255]', 'cut [0.1] [300, 100]', 'color [0.1.3] [56, 182, 255, 255]', 'cut [0.2] [x] [300]', 'cut [0.2.0] [y] [300]', 'cut [0.2.0.0] [y] [250]', 'color [0.2.0.0.0] [56, 182, 255, 255]', 'color [0.2.0.0.1] [15, 95, 173, 255]', 'cut [0.2.0.1] [250, 350]', 'color [0.2.0.1.0] [0, 74, 173, 255]', 'cut [0.2.1] [x] [350]', 'cut [0.2.1.0] [325, 300]', 'color [0.2.1.0.0] [0, 128, 55, 255]', 'cut [0.3] [100, 300]', 'cut [0.3.1] [y] [250]', 'color [0.3.1.0] [56, 182, 255, 255]', 'cut [0.3.1.1] [x] [150]', 'color [0.3.1.1.1] [0, 74, 173, 255]', 'cut [0.3.2] [150, 350]', 'color [0.3.2.1] [0, 74, 173, 255]']
# Solving 3
OPTIONS FOR 0:
* Score: 303415.95221132704 Cmds: []  
* Score: 65066.75868161112 Cmds: ['color [0] [0, 0, 0, 255]']  
* Score: 52223.17700740316 Cmds: ['cut [0] [x] [200]', 'cut [0.0] [100, 200]', 'color [0.0.0] [0, 0, 0, 255]', 'cut [0.0.1] [150, 100]', 'color [0.0.1.0] [0, 0, 0, 255]', 'color [0.0.1.1] [22, 84, 150, 255]', 'cut [0.0.1.2] [y] [150]', 'color [0.0.1.2.0] [255, 22, 22, 255]', 'color [0.0.1.2.1] [0, 0, 0, 255]', 'cut [0.0.1.3] [x] [125]', 'color [0.0.1.3.0] [0, 0, 0, 255]', 'color [0.0.1.3.1] [94, 23, 235, 255]', 'cut [0.0.2] [x] [150]', 'color [0.0.2.0] [0, 0, 0, 255]', 'cut [0.0.2.1] [y] [300]', 'color [0.0.2.1.0] [0, 74, 173, 255]', 'color [0.0.2.1.1] [0, 0, 0, 255]', 'cut [0.0.3] [50, 300]', 'color [0.0.3.0] [0, 0, 0, 255]', 'color [0.0.3.1] [0, 0, 0, 255]', 'cut [0.0.3.2] [y] [350]', 'color [0.0.3.2.1] [0, 0, 0, 255]', 'color [0.0.3.3] [0, 0, 0, 255]', 'cut [0.1] [y] [200]', 'cut [0.1.0] [y] [100]', 'cut [0.1.0.0] [300, 50]', 'color [0.1.0.0.0] [144, 199, 84, 255]', 'color [0.1.0.0.1] [254, 221, 89, 255]', 'color [0.1.0.0.2] [131, 135, 96, 255]', 'color [0.1.0.0.3] [0, 0, 0, 255]', 'color [0.1.0.1] [0, 0, 0, 255]', 'color [0.1.1] [0, 0, 0, 255]']  
* Score: 47741.7757385503 Cmds: ['cut [0] [y] [200]', 'cut [0.0] [200, 100]', 'cut [0.0.0] [y] [50]', 'color [0.0.0.0] [0, 0, 0, 255]', 'cut [0.0.0.1] [y] [75]', 'color [0.0.0.1.0] [0, 0, 0, 255]', 'color [0.0.0.1.1] [201, 226, 101, 255]', 'cut [0.0.1] [y] [50]', 'cut [0.0.1.0] [300, 25]', 'color [0.0.1.0.0] [201, 226, 101, 255]', 'color [0.0.1.0.1] [255, 222, 89, 255]', 'color [0.0.1.0.2] [161, 69, 85, 255]', 'color [0.0.1.0.3] [0, 0, 0, 255]', 'cut [0.0.1.1] [x] [300]', 'color [0.0.1.1.0] [0, 0, 0, 255]', 'color [0.0.1.1.1] [131, 135, 96, 255]', 'color [0.0.2] [0, 0, 0, 255]', 'cut [0.0.3] [100, 150]', 'color [0.0.3.0] [0, 0, 0, 255]', 'cut [0.0.3.1] [x] [150]', 'color [0.0.3.1.0] [94, 23, 233, 255]', 'color [0.0.3.1.1] [255, 22, 22, 255]', 'color [0.0.3.2] [0, 0, 0, 255]', 'color [0.0.3.3] [0, 0, 0, 255]', 'cut [0.1] [200, 300]', 'cut [0.1.0] [100, 250]', 'cut [0.1.0.0] [y] [225]', 'color [0.1.0.0.0] [0, 0, 0, 255]', 'color [0.1.0.0.1] [201, 226, 101, 255]', 'color [0.1.0.1] [0, 0, 0, 255]', 'cut [0.1.0.2] [x] [150]', 'color [0.1.0.2.0] [0, 0, 0, 255]', 'color [0.1.0.2.1] [0, 74, 173, 255]', 'color [0.1.0.3] [0, 0, 0, 255]', 'color [0.1.1] [0, 0, 0, 255]', 'color [0.1.2] [0, 0, 0, 255]', 'cut [0.1.3] [100, 350]', 'cut [0.1.3.0] [x] [50]', 'color [0.1.3.0.0] [0, 0, 0, 255]', 'color [0.1.3.1] [0, 0, 0, 255]', 'color [0.1.3.2] [0, 0, 0, 255]', 'color [0.1.3.3] [0, 0, 0, 255]']  
* Score: 46614.33552040481 Cmds: ['cut [0] [200, 200]', 'cut [0.0] [100, 100]', 'cut [0.0.0] [y] [50]', 'color [0.0.0.0] [0, 0, 0, 255]', 'cut [0.0.0.1] [y] [75]', 'color [0.0.0.1.0] [0, 0, 0, 255]', 'color [0.0.0.1.1] [201, 226, 101, 255]', 'cut [0.0.1] [x] [150]', 'color [0.0.1.0] [0, 0, 0, 255]', 'color [0.0.1.1] [22, 84, 150, 255]', 'cut [0.0.2] [x] [150]', 'cut [0.0.2.0] [x] [125]', 'color [0.0.2.0.0] [0, 0, 0, 255]', 'color [0.0.2.0.1] [94, 23, 235, 255]', 'cut [0.0.2.1] [y] [150]', 'color [0.0.2.1.0] [255, 22, 22, 255]', 'color [0.0.2.1.1] [0, 0, 0, 255]', 'color [0.0.3] [0, 0, 0, 255]', 'cut [0.1] [300, 100]', 'cut [0.1.0] [y] [50]', 'cut [0.1.0.0] [y] [25]', 'color [0.1.0.0.0] [201, 226, 101, 255]', 'color [0.1.0.0.1] [0, 0, 0, 255]', 'color [0.1.0.1] [0, 0, 0, 255]', 'cut [0.1.1] [x] [350]', 'cut [0.1.1.0] [x] [325]', 'color [0.1.1.0.0] [255, 22, 22, 255]', 'color [0.1.1.0.1] [117, 153, 61, 255]', 'cut [0.1.1.1] [x] [375]', 'color [0.1.1.1.0] [240, 221, 89, 255]', 'color [0.1.1.1.1] [94, 23, 235, 255]', 'color [0.1.2] [0, 0, 0, 255]', 'color [0.1.3] [0, 0, 0, 255]', 'color [0.2] [0, 0, 0, 255]', 'cut [0.3] [100, 300]', 'cut [0.3.0] [y] [250]', 'cut [0.3.0.0] [y] [225]', 'color [0.3.0.0.0] [0, 0, 0, 255]', 'color [0.3.0.0.1] [201, 226, 101, 255]', 'color [0.3.0.1] [0, 0, 0, 255]', 'cut [0.3.1] [x] [150]', 'color [0.3.1.0] [0, 0, 0, 255]', 'color [0.3.1.1] [0, 74, 173, 255]', 'color [0.3.2] [0, 0, 0, 255]', 'cut [0.3.3] [x] [50]', 'color [0.3.3.0] [0, 0, 0, 255]', 'cut [0.3.3.1] [y] [350]', 'color [0.3.3.1.1] [0, 0, 0, 255]']
# Solving 4
OPTIONS FOR 0:
* Score: 25307.78243250631 Cmds: []  
* Score: 25312.78243250631 Cmds: ['color [0] [255, 255, 255, 255]']  
* Score: 25270.09774794696 Cmds: ['cut [0] [x] [200]', 'cut [0.0] [100, 200]', 'cut [0.0.2] [150, 300]', 'cut [0.0.2.1] [175, 250]', 'color [0.0.2.1.1] [0, 0, 0, 255]']  
* Score: 25314.782432506312 Cmds: ['cut [0] [y] [200]']  
* Score: 25281.097747946962 Cmds: ['cut [0] [200, 200]', 'cut [0.3] [x] [100]', 'cut [0.3.1] [150, 300]', 'cut [0.3.1.1] [175, 250]', 'color [0.3.1.1.1] [0, 0, 0, 255]']
# Solving 5
OPTIONS FOR 0:
* Score: 42755.025928028525 Cmds: []  
* Score: 42760.025928028525 Cmds: ['color [0] [255, 255, 255, 255]']  
* Score: 30455.76430232258 Cmds: ['cut [0] [x] [200]', 'cut [0.0] [100, 200]', 'cut [0.0.1] [y] [100]', 'cut [0.0.1.1] [150, 150]', 'color [0.0.1.1.3] [0, 0, 0, 255]', 'cut [0.0.2] [150, 300]', 'cut [0.0.2.0] [y] [250]', 'color [0.0.2.0.0] [0, 0, 0, 255]', 'color [0.0.2.1] [0, 0, 0, 255]', 'cut [0.1] [300, 200]', 'cut [0.1.3] [250, 300]', 'cut [0.1.3.0] [225, 250]', 'color [0.1.3.0.3] [0, 0, 0, 255]']  
* Score: 28671.448625189376 Cmds: ['cut [0] [y] [200]', 'cut [0.0] [x] [200]', 'cut [0.0.0] [100, 100]', 'cut [0.0.0.2] [150, 150]', 'color [0.0.0.2.3] [0, 0, 0, 255]', 'cut [0.1] [200, 300]', 'cut [0.1.0] [100, 250]', 'color [0.1.0.1] [0, 0, 0, 255]', 'cut [0.1.0.2] [y] [275]', 'color [0.1.0.2.0] [0, 0, 0, 255]', 'cut [0.1.0.3] [50, 275]', 'color [0.1.0.3.1] [0, 0, 0, 255]']  
* Score: 28318.141500903526 Cmds: ['cut [0] [200, 200]', 'cut [0.0] [100, 100]', 'cut [0.0.2] [150, 150]', 'color [0.0.2.3] [0, 0, 0, 255]', 'cut [0.2] [x] [300]', 'cut [0.2.0] [250, 300]', 'cut [0.2.0.0] [225, 250]', 'color [0.2.0.0.3] [0, 0, 0, 255]', 'cut [0.3] [y] [300]', 'cut [0.3.0] [100, 250]', 'color [0.3.0.1] [0, 0, 0, 255]', 'cut [0.3.0.2] [y] [275]', 'color [0.3.0.2.0] [0, 0, 0, 255]', 'cut [0.3.0.3] [50, 275]', 'color [0.3.0.3.1] [0, 0, 0, 255]']
# Solving 6
OPTIONS FOR 0:
* Score: 169166.36812288262 Cmds: []  
* Score: 95304.97988742402 Cmds: ['color [0] [82, 85, 86, 255]']  
* Score: 32571.25195657424 Cmds: ['cut [0] [x] [200]', 'cut [0.0] [y] [200]', 'cut [0.0.0] [y] [100]', 'cut [0.0.0.0] [y] [50]', 'color [0.0.0.0.1] [227, 228, 226, 255]', 'color [0.0.0.1] [79, 79, 80, 255]', 'cut [0.0.1] [y] [300]', 'color [0.0.1.0] [78, 78, 79, 255]', 'cut [0.0.1.1] [y] [350]', 'color [0.0.1.1.0] [78, 78, 79, 255]', 'color [0.0.1.1.1] [0, 147, 185, 255]', 'cut [0.1] [y] [200]', 'cut [0.1.0] [y] [100]', 'cut [0.1.0.0] [y] [50]', 'color [0.1.0.0.1] [227, 228, 226, 255]', 'color [0.1.0.1] [78, 78, 79, 255]', 'cut [0.1.1] [y] [300]', 'color [0.1.1.0] [78, 78, 79, 255]', 'cut [0.1.1.1] [y] [350]', 'color [0.1.1.1.0] [78, 78, 79, 255]', 'color [0.1.1.1.1] [0, 147, 185, 255]']  
* Score: 20676.607552091577 Cmds: ['cut [0] [y] [200]', 'cut [0.0] [y] [100]', 'cut [0.0.0] [y] [50]', 'color [0.0.0.1] [227, 228, 226, 255]', 'cut [0.0.1] [y] [150]', 'cut [0.0.1.0] [y] [125]', 'color [0.0.1.0.0] [227, 228, 226, 255]', 'color [0.0.1.0.1] [78, 78, 79, 255]', 'color [0.0.1.1] [78, 78, 79, 255]', 'cut [0.1] [y] [300]', 'color [0.1.0] [78, 78, 79, 255]', 'cut [0.1.1] [y] [350]', 'color [0.1.1.0] [78, 78, 79, 255]', 'color [0.1.1.1] [0, 147, 185, 255]']  
* Score: 22193.90625286004 Cmds: ['cut [0] [200, 200]', 'cut [0.0] [y] [100]', 'cut [0.0.0] [y] [50]', 'color [0.0.0.1] [227, 228, 226, 255]', 'cut [0.0.1] [y] [150]', 'cut [0.0.1.0] [y] [125]', 'color [0.0.1.0.0] [227, 228, 226, 255]', 'color [0.0.1.0.1] [78, 78, 79, 255]', 'color [0.0.1.1] [79, 79, 79, 255]', 'cut [0.1] [y] [100]', 'cut [0.1.0] [y] [50]', 'cut [0.1.0.0] [x] [300]', 'color [0.1.0.0.0] [227, 228, 226, 255]', 'color [0.1.0.1] [227, 228, 226, 255]', 'cut [0.1.1] [y] [150]', 'cut [0.1.1.0] [y] [125]', 'color [0.1.1.0.0] [227, 228, 226, 255]', 'color [0.1.1.0.1] [78, 78, 79, 255]', 'color [0.1.1.1] [78, 78, 79, 255]', 'cut [0.2] [y] [300]', 'color [0.2.0] [78, 78, 79, 255]', 'cut [0.2.1] [y] [350]', 'color [0.2.1.0] [78, 78, 79, 255]', 'color [0.2.1.1] [0, 147, 185, 255]', 'cut [0.3] [y] [300]', 'color [0.3.0] [78, 78, 79, 255]', 'cut [0.3.1] [y] [350]', 'color [0.3.1.0] [78, 78, 79, 255]', 'color [0.3.1.1] [0, 147, 185, 255]']
# Solving 7
OPTIONS FOR 0:
* Score: 277944.8982466252 Cmds: []  
* Score: 95989.89533966673 Cmds: ['color [0] [0, 0, 0, 255]']  
* Score: 47014.61275035419 Cmds: ['cut [0] [x] [200]', 'cut [0.0] [100, 200]', 'cut [0.0.0] [50, 100]', 'color [0.0.0.0] [0, 0, 0, 255]', 'color [0.0.0.1] [0, 0, 0, 255]', 'cut [0.0.0.2] [y] [150]', 'color [0.0.0.2.0] [1, 0, 0, 255]', 'color [0.0.0.2.1] [33, 81, 216, 255]', 'color [0.0.0.3] [0, 0, 0, 255]', 'cut [0.0.1] [y] [100]', 'color [0.0.1.0] [0, 0, 0, 255]', 'cut [0.0.1.1] [y] [150]', 'color [0.0.1.1.0] [234, 0, 32, 255]', 'color [0.0.1.1.1] [33, 81, 216, 255]', 'cut [0.0.2] [y] [300]', 'cut [0.0.2.0] [y] [250]', 'color [0.0.2.0.0] [33, 81, 216, 255]', 'color [0.0.2.1] [0, 0, 0, 255]', 'cut [0.0.3] [50, 300]', 'cut [0.0.3.0] [x] [25]', 'color [0.0.3.0.0] [0, 0, 0, 255]', 'color [0.0.3.0.1] [35, 82, 215, 255]', 'color [0.0.3.1] [33, 81, 216, 255]', 'color [0.0.3.2] [0, 0, 0, 255]', 'color [0.0.3.3] [0, 0, 0, 255]', 'cut [0.1] [y] [200]', 'cut [0.1.0] [300, 100]', 'color [0.1.0.0] [0, 0, 0, 255]', 'color [0.1.0.1] [0, 0, 0, 255]', 'cut [0.1.0.2] [x] [350]', 'color [0.1.0.2.0] [33, 81, 216, 255]', 'color [0.1.0.2.1] [0, 0, 0, 255]', 'cut [0.1.0.3] [y] [150]', 'color [0.1.0.3.0] [234, 0, 32, 255]', 'color [0.1.0.3.1] [33, 81, 216, 255]', 'cut [0.1.1] [300, 300]', 'cut [0.1.1.0] [250, 250]', 'color [0.1.1.0.2] [0, 0, 0, 255]', 'cut [0.1.1.1] [y] [250]', 'color [0.1.1.1.1] [0, 0, 0, 255]', 'color [0.1.1.2] [0, 0, 0, 255]', 'color [0.1.1.3] [0, 0, 0, 255]']  
* Score: 45164.12275593444 Cmds: ['cut [0] [y] [200]', 'cut [0.0] [200, 100]', 'color [0.0.0] [0, 0, 0, 255]', 'color [0.0.1] [0, 0, 0, 255]', 'cut [0.0.2] [x] [300]', 'cut [0.0.2.0] [y] [150]', 'color [0.0.2.0.0] [234, 0, 32, 255]', 'color [0.0.2.0.1] [33, 81, 216, 255]', 'cut [0.0.2.1] [x] [350]', 'color [0.0.2.1.0] [33, 81, 216, 255]', 'color [0.0.2.1.1] [0, 0, 0, 255]', 'cut [0.0.3] [100, 150]', 'color [0.0.3.0] [0, 0, 0, 255]', 'color [0.0.3.1] [234, 0, 32, 255]', 'color [0.0.3.2] [33, 81, 216, 255]', 'cut [0.0.3.3] [x] [50]', 'color [0.0.3.3.0] [0, 0, 0, 255]', 'color [0.0.3.3.1] [33, 81, 216, 255]', 'cut [0.1] [200, 300]', 'cut [0.1.0] [y] [250]', 'color [0.1.0.0] [33, 81, 216, 255]', 'cut [0.1.1] [300, 250]', 'cut [0.1.1.0] [y] [225]', 'color [0.1.1.0.0] [33, 81, 216, 255]', 'color [0.1.1.2] [0, 0, 0, 255]', 'cut [0.1.1.3] [y] [275]', 'color [0.1.1.3.1] [0, 0, 0, 255]', 'color [0.1.2] [0, 0, 0, 255]', 'cut [0.1.3] [y] [350]', 'cut [0.1.3.0] [y] [325]', 'color [0.1.3.0.1] [0, 0, 0, 255]', 'color [0.1.3.1] [0, 0, 0, 255]']  
* Score: 44788.29107461876 Cmds: ['cut [0] [200, 200]', 'cut [0.0] [y] [100]', 'color [0.0.0] [0, 0, 0, 255]', 'cut [0.0.1] [100, 150]', 'color [0.0.1.0] [0, 0, 0, 255]', 'color [0.0.1.1] [234, 0, 32, 255]', 'color [0.0.1.2] [33, 81, 216, 255]', 'cut [0.0.1.3] [x] [50]', 'color [0.0.1.3.0] [0, 0, 0, 255]', 'color [0.0.1.3.1] [33, 81, 216, 255]', 'cut [0.1] [300, 100]', 'cut [0.1.0] [y] [50]', 'color [0.1.0.0] [0, 0, 0, 255]', 'cut [0.1.0.1] [y] [75]', 'color [0.1.0.1.0] [0, 0, 0, 255]', 'color [0.1.0.1.1] [233, 0, 31, 255]', 'color [0.1.1] [0, 0, 0, 255]', 'cut [0.1.2] [x] [350]', 'color [0.1.2.0] [33, 81, 216, 255]', 'color [0.1.2.1] [0, 0, 0, 255]', 'cut [0.1.3] [y] [150]', 'color [0.1.3.0] [234, 0, 32, 255]', 'color [0.1.3.1] [33, 81, 216, 255]', 'cut [0.2] [y] [300]', 'cut [0.2.0] [300, 250]', 'cut [0.2.0.0] [y] [225]', 'color [0.2.0.0.0] [33, 81, 216, 255]', 'color [0.2.0.2] [0, 0, 0, 255]', 'cut [0.2.0.3] [y] [275]', 'color [0.2.0.3.1] [0, 0, 0, 255]', 'color [0.2.1] [0, 0, 0, 255]', 'cut [0.3] [100, 300]', 'cut [0.3.0] [x] [50]', 'cut [0.3.0.0] [x] [25]', 'color [0.3.0.0.0] [0, 0, 0, 255]', 'color [0.3.0.0.1] [35, 82, 215, 255]', 'color [0.3.0.1] [33, 81, 216, 255]', 'cut [0.3.1] [y] [250]', 'color [0.3.1.0] [33, 81, 216, 255]', 'cut [0.3.2] [y] [350]', 'cut [0.3.2.0] [y] [325]', 'color [0.3.2.0.1] [0, 0, 0, 255]', 'color [0.3.2.1] [0, 0, 0, 255]', 'color [0.3.3] [0, 0, 0, 255]']
# Solving 8
OPTIONS FOR 0:
* Score: 21906.015798810506 Cmds: []  
* Score: 21911.015798810506 Cmds: ['color [0] [255, 255, 255, 255]']  
* Score: 21913.015798810506 Cmds: ['cut [0] [x] [200]']  
* Score: 21913.015798810506 Cmds: ['cut [0] [y] [200]']  
* Score: 21916.015798810513 Cmds: ['cut [0] [200, 200]']
# Solving 9
OPTIONS FOR 0:
* Score: 198787.46656333862 Cmds: []  
* Score: 111395.22435126212 Cmds: ['color [0] [140, 142, 110, 255]']  
* Score: 64208.47736302625 Cmds: ['cut [0] [x] [200]', 'cut [0.0] [100, 200]', 'cut [0.0.0] [50, 100]', 'cut [0.0.0.0] [25, 50]', 'color [0.0.0.0.2] [0, 0, 0, 255]', 'cut [0.0.0.1] [y] [50]', 'color [0.0.0.1.1] [0, 0, 0, 255]', 'cut [0.0.0.2] [y] [150]', 'color [0.0.0.2.0] [0, 0, 0, 255]', 'color [0.0.0.2.1] [142, 145, 112, 255]', 'cut [0.0.0.3] [x] [25]', 'color [0.0.0.3.1] [0, 0, 0, 255]', 'cut [0.0.1] [y] [100]', 'cut [0.0.1.0] [y] [50]', 'color [0.0.1.0.0] [241, 242, 243, 255]', 'color [0.0.1.0.1] [0, 0, 0, 255]', 'cut [0.0.1.1] [x] [150]', 'color [0.0.1.1.0] [142, 145, 112, 255]', 'color [0.0.1.1.1] [225, 196, 123, 255]', 'cut [0.0.2] [y] [300]', 'cut [0.0.2.0] [x] [150]', 'color [0.0.2.0.0] [142, 145, 112, 255]', 'color [0.0.2.0.1] [223, 190, 120, 255]', 'cut [0.0.2.1] [y] [350]', 'color [0.0.2.1.0] [142, 145, 112, 255]', 'color [0.0.2.1.1] [0, 0, 0, 255]', 'cut [0.0.3] [x] [50]', 'cut [0.0.3.0] [x] [25]', 'color [0.0.3.0.0] [245, 246, 247, 255]', 'color [0.0.3.0.1] [0, 0, 0, 255]', 'cut [0.0.3.1] [y] [300]', 'color [0.0.3.1.0] [142, 144, 111, 255]', 'color [0.0.3.1.1] [0, 0, 0, 255]', 'cut [0.1] [300, 200]', 'cut [0.1.0] [y] [100]', 'cut [0.1.0.0] [y] [50]', 'color [0.1.0.0.0] [242, 242, 243, 255]', 'color [0.1.0.0.1] [0, 0, 0, 255]', 'color [0.1.0.1] [101, 85, 81, 255]', 'cut [0.1.1] [x] [350]', 'cut [0.1.1.0] [y] [100]', 'color [0.1.1.0.0] [0, 0, 0, 255]', 'color [0.1.1.0.1] [139, 142, 109, 255]', 'cut [0.1.1.1] [x] [375]', 'color [0.1.1.1.0] [0, 0, 0, 255]', 'color [0.1.1.1.1] [243, 244, 245, 255]', 'cut [0.1.2] [x] [350]', 'cut [0.1.2.0] [y] [300]', 'color [0.1.2.0.0] [140, 143, 110, 255]', 'color [0.1.2.0.1] [0, 0, 0, 255]', 'cut [0.1.2.1] [x] [375]', 'color [0.1.2.1.0] [0, 0, 0, 255]', 'color [0.1.2.1.1] [247, 248, 249, 255]', 'cut [0.1.3] [y] [300]', 'cut [0.1.3.0] [x] [250]', 'color [0.1.3.0.0] [95, 72, 76, 255]', 'color [0.1.3.0.1] [141, 144, 111, 255]', 'cut [0.1.3.1] [y] [350]', 'color [0.1.3.1.0] [141, 143, 109, 255]', 'color [0.1.3.1.1] [0, 0, 0, 255]']  
* Score: 72032.87662437356 Cmds: ['cut [0] [y] [200]', 'cut [0.0] [200, 100]', 'cut [0.0.0] [y] [50]', 'cut [0.0.0.0] [y] [25]', 'color [0.0.0.0.0] [242, 243, 244, 255]', 'color [0.0.0.0.1] [0, 0, 0, 255]', 'color [0.0.0.1] [0, 0, 0, 255]', 'cut [0.0.1] [y] [50]', 'cut [0.0.1.0] [y] [25]', 'color [0.0.1.0.0] [243, 244, 245, 255]', 'color [0.0.1.0.1] [0, 0, 0, 255]', 'color [0.0.1.1] [0, 0, 0, 255]', 'cut [0.0.2] [y] [150]', 'cut [0.0.2.0] [x] [300]', 'color [0.0.2.0.0] [96, 83, 79, 255]', 'color [0.0.2.0.1] [0, 0, 0, 255]', 'color [0.0.2.1] [140, 142, 110, 255]', 'cut [0.0.3] [x] [100]', 'cut [0.0.3.0] [50, 150]', 'color [0.0.3.0.1] [0, 0, 0, 255]', 'color [0.0.3.0.2] [142, 145, 112, 255]', 'cut [0.0.3.1] [x] [150]', 'color [0.0.3.1.0] [142, 145, 112, 255]', 'color [0.0.3.1.1] [225, 196, 123, 255]', 'cut [0.1] [200, 300]', 'cut [0.1.0] [x] [100]', 'cut [0.1.0.0] [x] [50]', 'color [0.1.0.0.0] [242, 243, 245, 255]', 'color [0.1.0.0.1] [142, 144, 111, 255]', 'cut [0.1.0.1] [x] [150]', 'color [0.1.0.1.0] [142, 145, 112, 255]', 'color [0.1.0.1.1] [223, 190, 120, 255]', 'color [0.1.1] [140, 142, 110, 255]', 'cut [0.1.2] [y] [350]', 'cut [0.1.2.0] [x] [300]', 'color [0.1.2.0.0] [141, 143, 109, 255]', 'color [0.1.2.0.1] [0, 0, 0, 255]', 'cut [0.1.2.1] [y] [375]', 'color [0.1.2.1.0] [0, 0, 0, 255]', 'color [0.1.2.1.1] [246, 247, 248, 255]', 'cut [0.1.3] [y] [350]', 'cut [0.1.3.0] [x] [100]', 'color [0.1.3.0.0] [0, 0, 0, 255]', 'color [0.1.3.0.1] [142, 145, 112, 255]', 'cut [0.1.3.1] [y] [375]', 'color [0.1.3.1.0] [0, 0, 0, 255]', 'color [0.1.3.1.1] [245, 246, 247, 255]']  
